,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
13097,Shootout at Byculla,,,Thriller,,,Sanjay Gupta,,,
13098,Shootout at etawah safari,-2018.0,130 min,Thriller,,,Raja,,,
13099,Shootout at Kanpur,-2019.0,,Drama,,,Chandan Jaiswal,Badri,Muskaan Khatoon,Shiv Kumar
13100,Shootout at Lokhandwala,-2007.0,122 min,"Action, Crime, History",7.1,"9,607",Apoorva Lakhia,Amitabh Bachchan,Sanjay Dutt,Sunil Shetty
13101,Shootout at Wadala,-2013.0,155 min,"Action, Biography, Crime",5.9,"6,439",Sanjay Gupta,Anil Kapoor,John Abraham,Manoj Bajpayee
13102,Shor,-1972.0,170 min,Drama,7.2,337,Manoj Kumar,Manoj Kumar,Jaya Bachchan,Prem Nath
13103,Shor in the City,-2010.0,112 min,"Crime, Drama",7.2,"3,502",Krishna D.K.,Raj Nidimoru,Sendhil Ramamurthy,Tusshar Kapoor
13104,Shor Se Shuruaat,-2016.0,125 min,Drama,6.6,145,Amira Bhargava,Rahul V. Chittella,Satish Raj Kasireddi,Pratik Kothari
13105,Shorgul,-2016.0,132 min,Drama,5.7,268,Pranav Singh,Jitendra Tiwari,Jimmy Sheirgill,Ashutosh Rana
13106,Shortcut Romeo,-2013.0,146 min,"Action, Crime, Drama",2.3,252,Susi Ganesan,Neil Nitin Mukesh,Ameesha Patel,Puja Gupta
13107,Shortcut Safari,-2016.0,101 min,"Adventure, Drama, Mystery",6.4,70,Amitabha Singh,Jimmy Sheirgill,Aashi Rawal,Stuti Dwivedi
13108,Shortkut - The Con Is On,-2009.0,142 min,"Comedy, Drama",3.4,884,Neeraj Vora,Anil Kapoor,Sanjay Dutt,Akshaye Khanna
13109,Shorts,-2013.0,95 min,Drama,6.5,444,Neeraj Ghaywan,Siddharth Gupt,Rohit Pandey,Anirban Roy
13110,Shouting Silence,-2021.0,95 min,"Crime, Drama, Thriller",,,Jaimin Bal,Sachin Khedekar,Samir Singh,Tapaswini Reddy
13111,Show Me DeMoney,,,Documentary,,,Manav Wadhwa,,,
13112,Showbiz,-2007.0,108 min,"Action, Drama, Music",3.6,114,Raju Khan,Tushar Jalota,Mrinalini Sharma,Vishal Agarwala
13113,Showtime - A Mocumentry,,,Drama,,,Akshay Kumar,Sunny Leone,Sanjay Dutt,Sunil Shetty
13114,Shraap,,,Horror,,,Faisal Saif,Rajpal Yadav,Kavita Radheshyam,Yashpal Sharma
13115,Shraddha Shakti Jai Ambe Maa,-2005.0,,Drama,,,Sunil Bhumkar,Ritika De,Nishi Verma,Sanjay Wankhede
13116,Shraddha: In the Name of God,-2011.0,,Drama,,,Hamid Ali,Seema Biswas,Benjamin Gilani,Dinesh Hingoo
13117,Shraddhaandh,-2000.0,,Horror,,,Shahajii Raje,Raza Murad,,
13118,Shradhanjali,-1981.0,139 min,"Drama, Family",7.3,18,Anil Sharma,Rakhee Gulzar,Suresh Oberoi,Deepak Parashar
13119,Shrameya: The Laborious,-2008.0,,Drama,,,Manohar Singhal,Sulabha Deshpande,Govind Namdeo,Nirmal Pandey
13120,Shrant,-1984.0,,Thriller,,,G.G. Banerji,Govind Banerji,Priyanka Banerji,Anil Karve
13121,Shravan Kumar,-1984.0,,Drama,7.5,8,Chandrakant,Chandrima Bhaduri,Abhi Bhattacharya,Bharat Bhushan
13122,Shravan Kumar,-1948.0,,,,,Ram Daryani,Mumtaz Shanti,Pahadi Sanyal,Chandra Mohan
13123,Shravan Kumar,-1932.0,,,,,Mukhtar Begum,Abdul Rehman Kabuli,Panna Rani,
13124,Shravan Kumar,-1960.0,,Drama,,,Sharad Desai,Ananth Kumar,Nalini Chonkar,Achala Sachdev
13125,Shree,-2013.0,109 min,"Sci-Fi, Thriller",6.3,269,Rajesh Bachchani,Hussain Kuwajerwala,Anjali Patil,Shivani Tanksale
13126,Shree 420,-1955.0,168 min,"Comedy, Crime, Drama",8.0,"2,612",Raj Kapoor,Nargis,Raj Kapoor,Nadira
13127,Shree Ganesh,-1962.0,139 min,"Adventure, Drama, Fantasy",7.5,6,S.S. Dharwadkar,Mahipal,Sahira,Indira
13128,Shree Krishna Bhakti,-1955.0,,,,,Babubhai Mistry,Bipin Gupta,Manmohan Krishna,Krishna Kumari
13129,Shree Krishna Bhakti,-1973.0,,Drama,,,Jeevan,Lalita Kumari,Shahu Modak,B.M. Vyas
13130,Shree Krishnarjun Yuddh,-1971.0,136 min,"Adventure, Drama, History",7.0,6,Babubhai Mistry,Abhi Bhattacharya,Jayshree Gadkar,Mahipal
13131,Shree Muktajeevan Swamibapa,-2008.0,,Documentary,,,Nishit Jadawala,,,
13132,Shree Ram Bhakta Hanumaan,-1985.0,,Drama,,,Ganga,,,
13133,Shree Ram Bharat Milan,-1965.0,,"Adventure, Family",7.6,5,Manibhai Vyas,Prithviraj Kapoor,Mahipal,Anita Guha
13134,Shree Rama Pattabhishekam,-1962.0,,,,,G.K. Ramu,P. Subramaniam,Prem Nazir,Thikkurisi Sukumaran Nair
13135,Shree Satyanarayan Ki Maha Pooja,-1975.0,,Drama,,,Rajni Bala,Bharat Bhushan,Mohan Choti,Manher Desai
13136,Shree Satyanarayana Pooja,-1990.0,,Drama,,,Bhavya,Kalyan Kumar,Vijayalaxmi,
13137,Shreelancer,-2017.0,93 min,Drama,7.2,92,Sandeep Mohan,Arjun Radhakrishnan,Falah Faisal,Chandan Gill
13138,Shreemaan Aashique,-1993.0,152 min,"Comedy, Romance",4.8,135,Deepak Anand,Rishi Kapoor,Urmila Matondkar,Bindu
13139,Shreeman Funtoosh,-1965.0,,"Comedy, Drama, Fantasy",6.0,26,Shantilal Soni,Kishore Kumar,Kumkum,Anoop Kumar
13140,Shri Chaitanya Mahaprabhu,-1954.0,,Biography,6.8,6,Vijay Bhatt,Bharat Bhushan,Durga Khote,Ram Mohan
13141,Shri Datta Darshan,-1988.0,159 min,Drama,,,Kamalakara Kameshwara Rao,Sarvadaman Banerjee,Ranganath,Sivakrishna
13142,Shri Datta Darshanam,-1985.0,143 min,"Musical, Drama",8.2,19,Kamalakara Kameshwara Rao,Sarvadaman Banerjee,Ramana Murthi J.V.,Jyotirmayi
13143,Shri Durga Pooja,-2005.0,134 min,Drama,,,Lakshmi,,,
13144,Shri Ganesh Janma,-1951.0,,Fantasy,,,Jayant Desai,Jeevan,Trilok Kapoor,Nirupa Roy
13145,Shri Ganesh Mahima,-1950.0,,"Drama, Fantasy",,,Homi Wadia,Mahipal,Meena Kumari,Moolchand
13146,Shri Ganesh Vivah,-1955.0,,,,,Jaswant Jhaveri,Prem Adib,Jeevan,Durga Khote
13147,Shri Krishn Arjun Yuddha,-1945.0,,"Drama, Fantasy, History",,,Mohan Sinha,Prithviraj Kapoor,Shobhna Samarth,Shahu Modak
13148,Shri Krishna Bhakta Narsi,-1993.0,,Drama,,,Ramesh Puri,Rajni Bala,Raja Bundela,Puneet Issar
13149,Shri Krishna Darshan,-1950.0,,,,,Usha Kiran,,,
13150,Shri Krishna Leela,-1971.0,,"Adventure, Comedy, Drama",7.3,19,Homi Wadia,Pritam Arjun,Baburaje,Master Baby
13151,Shri Laxminath Gosai,-2021.0,,Biography,,,Ramesha K. Barti,,,
13152,Shri Mata Tere Roop Anek,-1982.0,,Drama,,,Srividya,Major Sunderan,,
13153,Shri Nagad Narayan,-1955.0,,,,,I.S. Johar,Majnu,Motilal,Murad
13154,Shri Ram Avtar,-1950.0,,,,,W. Garcher,Amarnath,Leela Mishra,Shahu Modak
13155,Shri Ram Hanuman Yudha,-1975.0,,Drama,,,Bapu,Janardhana Rao Arja,Saroja Devi B.,Dhulipala
13156,Shri Ramanuja,-1943.0,,,6.5,8,Debaki Bose,Biman Bandopadhyay,Chhayadevi,Hiralal
13157,Shri Satyanarayan,-1935.0,,,,,Leela Chitnis,,,
13158,Shri Satyanarayan Vrat Katha,-1997.0,,Drama,,,Vijay Pande,Firoz Ali,Sudhir Dalvi,Gulshan Kumar
13159,Shri Siddhivinayak Mahima,-2007.0,,"Drama, Family, History",4.3,7,Arun Nalawade,Subodh Bhave,Tushar Dalvi,Milind Jadhav
13160,Shri Vishnu Bhagwan,-1951.0,,Fantasy,,,Raja Nene,Jankidas,Trilok Kapoor,Usha Kiran
13161,Shrikrishna Satyabhama,-1951.0,,,,,Raja Paranjpe,,,
13162,Shriman Satyawadi,-1960.0,146 min,"Action, Crime, Drama",7.0,68,S.M. Abbas,Raj Kapoor,Shakila,Mehmood
13163,Shriman Shrimati,-1982.0,145 min,"Comedy, Drama, Family",6.4,139,Vijay Reddy,Sanjeev Kumar,Rakhee Gulzar,Rakesh Roshan
13164,Shriman Shrimati Lekin Abhi Shadi Nahi Hui,-2000.0,,Comedy,,,Laila,Shivaji,,
13165,Shrimanji,-1968.0,160 min,"Drama, Family",6.6,29,Ram Dayal,Kishore Kumar,I.S. Johar,Jeevan
13166,Shrimati 420,-1956.0,128 min,Comedy,,,G.P. Sippy,Johnny Walker,Meena Shorey,Om Prakash
13167,Shrimati Ji,-1952.0,,"Comedy, Thriller",4.1,7,I.S. Johar,Nasir Khan,Shyama,I.S. Johar
13168,Shringaar,-2013.0,126 min,"Drama, History",5.0,7,Kumaar Aadarsh,Kumaar Aadarsh,Sahil Khan,Khushi Mukherjee
13169,Shubdin,-1974.0,,Drama,,,H. Taygrajan,Gulshan Arora,Madhu Chanda,Shashi Kiran
13170,Shubh Din,-1974.0,,"Drama, Fantasy",,,P. Thyagarajan,Shashi Kiran,,
13171,Shubh Kaamna,-1983.0,138 min,"Comedy, Drama",6.3,16,K. Viswanath,Rati Agnihotri,Asrani,Utpal Dutt
13172,Shubh Mangal Savdhan,-2017.0,119 min,"Comedy, Romance",6.9,"9,094",R.S. Prasanna,Ayushmann Khurrana,Bhumi Pednekar,Seema Bhargava
13173,Shubh Mangal Zyada Saavdhan,-2020.0,117 min,"Comedy, Romance",5.8,"8,208",Hitesh Kewalya,Ayushmann Khurrana,Jitendra Kumar,Gajraj Rao
13174,Shubh Raatri,-2020.0,52 min,Horror,4.5,67,Pankaz Singh Tanwar,Simran Ahemad,Nemi Chand,Jaya Goswami
13175,Shuddh Desi Romance,-2013.0,141 min,"Comedy, Drama, Romance",6.0,"8,447",Maneesh Sharma,Sushant Singh Rajput,Parineeti Chopra,Rishi Kapoor
13176,Shuddhi,-2017.0,114 min,"Crime, Drama, Thriller",7.9,374,Adarsh Eshwarappa,Lauren Spartano,Niveditha,Amrutha Karagada
13177,Shudra the Rising,-2012.0,,History,6.8,215,Sanjiv Jaiswal,Priya Annatram,Habib Azmi,Pravin Baby
13178,SHUDRA: The Untouchables,-2011.0,116 min,"Drama, Family, History",7.8,23,Sanjiv Jaiswal,Sridhar Dubey,,
13179,Shuk Rambha,-1953.0,,Fantasy,,,Dhirubhai Desai,Anjali Devi,Nirupa Roy,Bharat Bhushan
13180,Shukranu,-2020.0,90 min,Drama,6.4,678,Bishnu Dev Halder,Divyendu Sharma,Shweta Basu Prasad,Sheetal Thakur
13181,Shukrdosh,-2021.0,,Comedy,,,Anup Thapa,Puneet Issar,Mugdha Godse,Grusha Kapoor
13182,Shukriya,-1944.0,,,,,Harnam Singh Rawail,Zahoor Shah,,
13183,Shukriya: Till Death Do Us Apart,-2004.0,144 min,"Musical, Drama, Family",5.1,148,Anupam Sinha,Anupam Kher,Aftab Shivdasani,Shriya Saran
13184,Shukriyaa,-1988.0,,"Drama, Romance",,,A.C. Trilogchander,Rajiv Kapoor,Amrita Singh,Asrani
13185,Shuruaat,-1993.0,135 min,"Drama, Romance",,,Sundardas,Master Amit,Mohan Choti,C.S. Dubey
13186,Shuruaat Ka Interval,-2014.0,99 min,Drama,7.2,68,Aarti S. Bagdi,Amrit Raj Gupta,Krishan Hooda,Shishir Jha
13187,Shuruaat Ka Twist,-2019.0,142 min,Drama,6.6,9,Heena Dsouza,Avalokita Dutt,Praveen Fernandes,Hanish Kalia
13188,Shut up Sona,-2020.0,85 min,"Documentary, Musical",7.1,19,Deepti Gupta,,,
13189,Shuttlecock Boys,-2011.0,76 min,"Comedy, Drama",6.2,111,Hemant Gaba,Aakar Kaushik,Manish Nawani,Alok Kumar
13190,Shyam Ki Jogan,-1957.0,,,,,Sulochana Latkar,Kamal Mehra,Shahu Modak,
13191,Shyam Sundar,-1932.0,121 min,Drama,,,Bhalji Pendharkar,Shahu Modak,Shanta Apte,Bandopant Sohoni
13192,Shyam Sundar Shreenath,,,,,,Rajeev Srivastava,,,
13193,Shyama,-1953.0,126 min,,,,Joshiy,Vinayan,Shyama,
13194,Shyamla,-1979.0,,Action,,,Joginder Shelly,Jalal Agha,Rita Bhaduri,Master Bhagwan
13195,Siddeshwari,-1990.0,123 min,Documentary,7.5,77,Mani Kaul,Mita Vashisht,Muhar Biswas,Ranjana Srivastava
13196,Siddhart (The Journey),,,Drama,,,Hamid Hn,,,
13197,Siddharth,-2013.0,96 min,Drama,7.3,671,Richie Mehta,Rajesh Tailang,Tannishtha Chatterjee,Anurag Arora
13198,Siddharth: The Prisoner,-2009.0,,"Crime, Drama, Thriller",6.6,105,Pryas Gupta,Rajat Kapoor,Sachin Nayak,Pradip Sagar
13199,"Siddhartha: Love, Lust, Peace",,,Drama,,,Mukul Misra,Shivam Bhaargava,Mahesh Bhatt,Shazahn Padamsee
13200,Sikandar,-1976.0,,,,,Sai Paranjape,Veeni Paranjape Joglekar,Kulbhushan Kharbanda,Manorama Wagle
13201,Sikandar,-2009.0,110 min,"Crime, Drama, Mystery",6.4,262,Piyush Jha,Parzaan Dastur,Ayesha Kapoor,Sanjay Suri
13202,Sikandar E Azam,-1965.0,,"Adventure, Drama, History",7.9,35,Kedar Kapoor,Prithviraj Kapoor,Dara Singh,Mumtaz
13203,Sikandar Ki Lalkar,-1993.0,,Action,,,Chiranjeevi,Silk Smitha,,
13204,Sikandar Sadak Ka,-1999.0,144 min,"Action, Drama",3.9,12,T.L.V. Prasad,Mithun Chakraborty,Manek Bedi,Monica Bedi
13205,Sikka,-1989.0,180 min,"Action, Drama",4.5,35,K. Bapaiah,Mahesh Anand,Asrani,Brahmachari
13206,Sikka,-1976.0,,,,,Dilip Bose,Anil Dhawan,Ambika Johar,Satyendra Kapoor
13207,Sila,-1988.0,,Drama,,,B.R. Ishara,Raj Kiran,Priya Tendulkar,Sadashiv Amrapurkar
13208,Silence of Sleep,-2020.0,90 min,Thriller,,,Sudhish Kumar,Naina Khan,Rishabhraj Mehrotra,Udayyan Raathore
13209,Silence Please... The Dressing Room,-2004.0,100 min,Thriller,2.9,13,Sanjay Srinivas,Tom Alter,Salil Ankola,Sonali Kulkarni
13210,Silence the Court Is in Session,-2015.0,105 min,Drama,6.2,13,Ritesh Menon,Nandita Das,Pravina Bhagwat Deshpande,Ajitesh Gupta
13211,Silence: Can You Hear It,-2021.0,136 min,"Crime, Thriller",6.6,"3,324",Aban Bharucha Deohans,Sahil Vaid,Manoj Bajpayee,Hitha Chandrashekar
13212,Silent House Remake,,,Horror,,,,,,
13213,Silky,-1984.0,,Thriller,,,Bhanuchander,Raghuvaran,Silk Smitha,
13214,Silsiilay,-2005.0,134 min,Drama,4.0,696,Khalid Mohamed,Tabu,Bhoomika Chawla,Riya Sen
13215,Silsila,-1981.0,182 min,"Drama, Family, Romance",7.3,"2,603",Yash Chopra,Amitabh Bachchan,Shashi Kapoor,Jaya Bachchan
13216,Silsila Hai Pyar Ka,-1999.0,150 min,"Comedy, Drama, Romance",2.5,209,Shrabani Deodhar,Karisma Kapoor,Chandrachur Singh,Aruna Irani
13217,Silvat,-2018.0,45 min,"Drama, Romance",7.1,168,Tanuja Chandra,Kartik Aaryan,Amal Farooque,Maaman Memon
13218,Silver King,-1935.0,161 min,,,,Chimanlal Luhar,Sabita Devi,Motilal,Sriranjani Sr.
13219,Silver King,-1957.0,,Action,,,Habib,Kamran,Ranjan Kapoor,Sheela Vaz
13220,Silver Queen,-1946.0,,Action,,,Raja Yagnik,Madhuri,Navinchandra,Agha
13221,Sim Sim Marjeena,-1958.0,,Fantasy,,,Helen,Mahipal,Shakila,Niranjan Sharma
13222,Simba,-1951.0,,"Action, Adventure",,,Mohammed Hussain,,,
13223,Simhadriya Simha,-2002.0,157 min,"Action, Drama",8.5,66,S. Narayan,Vishnuvardhan,Meena,Bhanupriya
13224,Simla Road,-1969.0,,"Action, Crime, Mystery",6.0,5,Jugal Kishore,Hiralal,Jugal Kishore,Dev Kumar
13225,Simmba,-2018.0,158 min,"Action, Comedy, Crime",5.6,"15,244",Rohit Shetty,Sam Nagar,Ranveer Singh,Sara Ali Khan
13226,Simran,-2017.0,124 min,"Crime, Drama, Thriller",5.1,"3,254",Hansal Mehta,Kangana Ranaut,Sohum Shah,Esha Tewari
13227,Sin Story,,,Thriller,,,Sanjay Amar,Pamela Mandal,Prashantt Guptha,
13228,Sinbad Jahazi,-1952.0,,Adventure,4.0,8,Nanabhai Bhatt,Nirupa Roy,,
13229,Sindbad Alibaba and Aladdin,-1965.0,,"Adventure, Fantasy, Musical",3.7,7,Prem Narayan Arora,Agha,Master Bhagwan,Helen
13230,Sindbad the Sailor,-1952.0,,Fantasy,,,Master Bhagwan,Jayant,Pran,Ranjan
13231,Sindhustan,-2019.0,64 min,"Documentary, Family, History",9.3,36,Sapna Bhavnani,Leila Advani,Laj Badlani,Chaho Bhara
13232,Sindoor,-1947.0,,,,,Kishore Sahu,Mehmood,Kishore Sahu,
13233,Sindoor,-1987.0,162 min,"Comedy, Drama",5.1,113,K. Ravi Shankar,Shashi Kapoor,Govinda,Neelam Kothari
13234,Sindoor Bane Jwala,-1982.0,,,,,K. Bapaiah,Sanjeev Kumar,Rajshree,Sharada
13235,Sindoor Ka Daan,-1984.0,,Drama,,,Rajni Bala,Jayshree Gadkar,Rajan Haksar,Arvind Kumar
13236,Sindoor Ki Holi,-1996.0,,Action,,,Shagufta Ali,Sangeeta Ghosh,Bharat Kapoor,Kader Khan
13237,Sindoor Ki Saugandh,-2002.0,,Action,,,Swaroop Kumar,Ishrat Ali,Arun Bakshi,Pinky Chinoy
13238,Sindoor Mange Khoon,-2001.0,,Action,,,Hemant Birje,Adi Irani,Mohan Joshi,Ravi Kishan
13239,Sindoori,-1982.0,,Drama,,,,,,
13240,Singaar,-1949.0,,"Drama, Family",6.8,9,J.K. Nanda,Paidi Jairaj,Suraiya,Madhubala
13241,Singapore,-1960.0,135 min,"Crime, Thriller",6.5,71,Shakti Samanta,Shammi Kapoor,Padmini,Maria Menado
13242,Singh Is Bliing,-2015.0,141 min,"Action, Comedy",5.0,"7,891",Prabhu Deva,Akshay Kumar,Amy Jackson,Lara Dutta
13243,Singh Is King,-2008.0,135 min,"Action, Comedy, Crime",5.7,"14,526",Anees Bazmee,Akshay Kumar,Katrina Kaif,Om Puri
13244,Singh Saab the Great,-2013.0,134 min,"Action, Drama",5.6,"2,200",Anil Sharma,Sunny Deol,Urvashi Rautela,Prakash Raj
13245,Singham,-2011.0,143 min,"Action, Crime, Drama",6.8,"14,788",Rohit Shetty,Ajay Devgn,Kajal Aggarwal,Prakash Raj
13246,Singham,-2019.0,141 min,"Action, Drama",5.5,96,Navaniat Singh,Priyanka Arya,Sonam Bajwa,Kartar Cheema
13247,Singham Returns,-2014.0,142 min,"Action, Crime, Drama",5.7,"7,675",Rohit Shetty,Ajay Devgn,Kareena Kapoor,Amole Gupte
13248,Singhasan,-1986.0,161 min,"Action, Adventure, Romance",5.1,14,Krishna Ghattamaneni,Bharat Bhushan,Leena Das,Gulshan Grover
13249,Singhwahini,-2021.0,,Documentary,,,Lubdhak Chatterjee,Nihal Parashar,,
13250,Singing with Angry Bird,-2016.0,88 min,"Documentary, Drama, Family",7.5,48,Hyewon Jee,,,
13251,Sinhal Dweep Ki Sundari,-1937.0,161 min,Action,,,Kikubhai Desai,Gohar,Mehrunissa,Mirajkar
13252,Sinhal Dweep Ki Sundari,-1960.0,,Fantasy,,,Shantilal Soni,Nalini Chonkar,Daljeet,Anand Kumar
13253,Sinhasan,-1934.0,,,,,Gajanan Jagirdar,Shantakumari,,
13254,Sins,-2005.0,138 min,"Drama, Romance, Thriller",4.2,387,Vinod Pande,Vinod Pande,Gauri Shankar,Shiney Ahuja
13255,Sipah Salar,-1936.0,,,,,Jagatrai Pesumal Advani,Khurshid Begum,,
13256,Sipahi,-1941.0,,,,,Daud Chand,Hiralal,Zohra,
13257,Sipahi,-1945.0,,Drama,,,G.K. Mehta,,,
13258,Sipahi Ka Sapna,-1948.0,,,,,Sushil Majumdar,,,
13259,Sipahi Ki Sajni,-1936.0,134 min,,,,Chandulal Shah,Gohar,Eddie Billimoria,Ram Apte
13260,Sipahiya,-1949.0,,,,,Aspi Irani,Madhubala,Lala Yaqoob,Altaf
13261,Sipahsalar,-1956.0,,Action,,,Mohammed Hussain,Shammi Kapoor,Nadira,Kamal Mehra
13262,Sir,-2018.0,99 min,"Drama, Romance",7.7,"5,461",Rohena Gera,Tillotama Shome,Vivek Gomber,Geetanjali Kulkarni
13263,Sir,-1993.0,151 min,"Crime, Drama, Romance",6.2,336,Mahesh Bhatt,Naseeruddin Shah,Pooja Bhatt,Atul Agnihotri
13264,Sir Sir Sarla,-2020.0,,Drama,,,Suman Mukhopadhyay,Sanjay Dadhich,Makrand Deshpande,Aahana Kumra
13265,Sirf 5 Din,-2018.0,145 min,Horror,,,V. Menon,Raj Babbar,Anuj Gill,Mahie Gill
13266,Sirf Romance: Love by Chance,-2007.0,160 min,Romance,3.4,8,Raja Bundela,Zeenat Aman,Raj Babbar,Arun Bakshi
13267,Sirf....: Life Looks Greener on the Other Side,-2008.0,135 min,Drama,5.8,96,Rajatesh Nayyar,Kay Kay Menon,Manisha Koirala,Ranvir Shorey
13268,Sisakti Kaliyaan,-1991.0,,Drama,,,,,,
13269,Siskiyaan,-2005.0,125 min,"Drama, Thriller",5.1,73,Ashwini Chaudhary,Neha Dhupia,Sachin Khedekar,Sonu Sood
13270,Siskiyan,-1983.0,,Thriller,,,Sher Jeng Singh,Sher Jung Singh,Master Bhagwan,Narendra Chanchal
13271,Sister,-1980.0,,Drama,,,Rajdeep,Rehana Sultan,Gautam Bhatia,Bharat Kapoor
13272,Sisters of the Trees,-2018.0,82 min,Documentary,,,Camila Menéndez,Lucas Peñafort,,
13273,Sisters: A Secret Unveiled,,,Drama,,,Nisant,Rajesh Singh,Khushboo Khan,Dollops Singh
13274,Sita Shuddhi,-1924.0,,,,,Dhundiraj Govind Phalke,,,
13275,Sita Swayamvar,-1976.0,,"Adventure, Drama, Fantasy",8.2,29,Bapu,Ravi Kumar,Jaya Prada,Satyanarayana Kaikala
13276,Sitam,-1982.0,,"Drama, Family",6.0,14,Vikas Desai,Aruna Raje,Naseeruddin Shah,Smita Patil
13277,Sitam,-2005.0,,Drama,2.6,20,Partho Ghosh,Kiran Janjani,Tara Sharma,Mallishka
13278,Sitamgar,-1958.0,,,,,T. Prakash Rao,Shivaji Ganesan,Padmini,Ragini
13279,Sitamgar,-1985.0,,Action,6.7,54,Raj N. Sippy,Dharmendra,Parveen Babi,Rishi Kapoor
13280,Sitamgar,-1954.0,,Action,,,Aakkoo,Habib,Nazir Kashmiri,Krishna Kumari
13281,Sitamgarh,-1934.0,158 min,Drama,,,Jayant Desai,Eddie Billimoria,Keki Bawa,Ghori
13282,Sitapur Ki Geeta,-1987.0,,"Action, Crime",5.5,31,Shibu Mitra,Rajesh Khanna,Hema Malini,Pran
13283,Sitapur: The City of Gangsters,-2021.0,,Action,,,Mobeen Warsi,Jabbar Akram,Mirza Azhar,Utkarsh Bajpayee
13284,Sitara,-1955.0,,,,,S.K. Ojha,Amar,Pratima Devi,Gope
13285,Sitara,-1938.0,169 min,,,,Ezra Mir,Rattan Bai,Khurshid Begum,Nazir
13286,Sitara,-1980.0,125 min,"Drama, Family",6.5,24,Meraj,Mithun Chakraborty,Zarina Wahab,Kanhaiyalal Chaturvedi
13287,Sitara,-2020.0,,Drama,,,Vandana Kataria,Sobhita Dhulipala,Rajeev Siddhartha,
13288,Sitaramaraju,-1999.0,,"Action, Drama, Romance",5.7,144,Y.V.S. Chowdary,Nagarjuna Akkineni,Harikrishna Nandamuri,Sakshi Shivanand
13289,Sitaron Se Aage,-1958.0,,"Drama, Musical",6.1,10,Satyen Bose,Ashok Kumar,Rajasulochana,Johnny Walker
13290,Situationship,-2019.0,,Drama,,,Victor Mukherjee,Victor Mukherjee,Khushboo Kankan,Shruti Pathak
13291,Sivaji,-2007.0,188 min,"Action, Drama, Thriller",7.5,"18,422",S. Shankar,Rajinikanth,Shriya Saran,Suman
13292,Sivappathikaaram,-2006.0,112 min,Action,5.5,86,Karu Pazhaniappan,Upendra Limaye,Mamta Mohandas,Raghuvaran
13293,Six December,-2012.0,,,,,Rati Agnihotri,Prem Chopra,Neha Dhupia,Mohan Joshi
13294,Six Hours With Terrorists,-2011.0,,Drama,,,Karan Kashyap,Sunil Chauhan,Laila Panda,Abdul Sheikh
13295,Six X,-2016.0,133 min,Drama,6.9,210,Chandrakant Singh,Seema Azmi,Shweta Bhardwaj,Hrishitaa Bhatt
13296,SIXER,-2001.0,80 min,Drama,,,Gul Bahar Singh,Punya Darshan Gupta,Manjushree,
13297,Sixteen,-2013.0,138 min,"Drama, Romance, Thriller",6.3,"1,680",Raj Purohit,Wamiqa Gabbi,Izabelle Leite,Mehak Manwani
13298,Siyaah..,-2012.0,97 min,Horror,5.3,63,Aziz Naser,Habeeb Aidroos,Habib Al Aidroos,Zarine Ali
13299,Siyaasat: The Politics,-2006.0,,Action,,,Sadashiv Amrapurkar,Milind Gunaji,Dinesh Hingoo,Mushtaq Khan
13300,Siyasat,-1988.0,,Action,3.1,15,Mahesh Bhatt,Neelam Kothari,,
13301,Siyasat,-1992.0,,"Action, Drama",5.8,5,Sukhwant Dhadda,Kumar Gaurav,Kimi Katkar,Shashi Ranjan
13302,Siyavar Ram - Ramayana,-2020.0,90 min,Animation,7.0,6,Murugan V.,,,
13303,Skater Girl,-2021.0,107 min,"Drama, Family, Sport",6.6,"1,154",Manjari Makijany,Amy Maghera,Waheeda Rehman,Rachel Saanchita Gupta
13304,Skates,,,Drama,,,Chayan Sarkar,,,
13305,Slender Threads,-1973.0,118 min,"Action, Drama",7.1,49,Raj Khosla,Vinod Khanna,Moushumi Chatterjee,Kabir Bedi
13306,Slightly Sane,,100 min,"Comedy, Drama",,,Pan Nalin,,,
13307,Slumdog Karodpati,-2019.0,118 min,Thriller,,,Rajesh Patole,Udhav Garje,Rahul Gavane,Govindrao
13308,Slumdog Karodpati,-2019.0,118 min,Thriller,,,Rajesh Patole,Udhav Garje,Rahul Gavane,Govindrao
13309,Smile Please,-2004.0,,Comedy,,,Yunus Patel,Sudha Chandran,Jasbir Jassi,Shakti Kapoor
13310,Smothered Voices,-1977.0,,Drama,,,Homi Hormasji,Mohan Agashe,Gerson Da Cunha,Kulbhushan Kharbanda
13311,Smuggler,-1996.0,,"Action, Crime",4.3,19,Ajay Kashyap,Dharmendra,Ayub Khan,Eva Grover
13312,Smuggler,-1966.0,,"Action, Crime",6.7,6,Aspi Irani,Sheikh Mukhtar,Kumkum,Sanjeev Kumar
13313,Smuggler,-1959.0,,Action,,,,,,
13314,Snatch & Grab,-2009.0,89 min,Thriller,,,Errol Peter Marks,Aditya Sawant,Yogesh Bhalekar,Wynrica Gonsalves
13315,Snegithiye,-2000.0,154 min,"Drama, Musical, Mystery",6.5,276,Priyadarshan,Jyotika,Sharbani Mukherji,Tabu
13316,Sneh Bandhan,-1940.0,,,,,Jagatrai Pesumal Advani,Eddie Billimoria,,
13317,Sneham Kosam,-1999.0,169 min,"Action, Drama",6.5,270,K.S. Ravikumar,Chiranjeevi,Meena,Vijayakumar
